number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_d_ff,params_d_model,params_dropout,params_e_layers,params_fc_dropout,params_head_dropout,params_kernel_size,params_learning_rate,params_n_heads,params_patch_len,params_stride,state
0,0.5322048479153134,2024-10-11 12:13:28.008853,2024-10-11 12:31:13.031270,0 days 00:17:45.022417,relu,48,256,64,0.30000000000000004,3,0.2,0.5,31,5e-06,4,32,8,COMPLETE
1,0.5393271237268694,2024-10-11 12:31:13.048825,2024-10-11 12:46:00.291753,0 days 00:14:47.242928,elu,32,512,512,0.30000000000000004,4,0.1,0.30000000000000004,15,5e-05,32,8,16,COMPLETE
