number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_ff,params_d_model,params_dropout,params_e_layers,params_fc_dropout,params_head_dropout,params_learning_rate,params_n_heads,state
98,0.706306284306399,2024-09-14 12:37:12.715402,2024-09-14 12:52:52.539329,0 days 00:15:39.823927,32,256,128,0.3,2,0.3,0.1,9.828895183886984e-05,16,COMPLETE
99,0.7758518987773929,2024-09-14 12:52:52.553455,2024-09-14 13:05:40.955453,0 days 00:12:48.401998,32,256,128,0.3,4,0.3,0.1,8.766372241202582e-05,16,COMPLETE
100,0.7787602373898497,2024-09-14 13:05:40.969648,2024-09-14 13:25:15.136693,0 days 00:19:34.167045,32,256,128,0.3,4,0.3,0.1,9.764218974878348e-05,16,COMPLETE
101,0.7285750966364081,2024-09-14 13:25:15.151168,2024-09-14 13:37:06.498361,0 days 00:11:51.347193,32,256,16,0.3,4,0.3,0.1,4.770199829440478e-05,16,COMPLETE
102,0.7800670575114655,2024-09-14 13:37:06.512745,2024-09-14 13:56:41.403491,0 days 00:19:34.890746,32,256,128,0.3,4,0.3,0.1,9.804745135887926e-05,16,COMPLETE
103,0.7757776907407338,2024-09-14 13:56:41.417710,2024-09-14 14:17:55.102212,0 days 00:21:13.684502,32,256,128,0.3,4,0.3,0.1,6.674487387976549e-05,16,COMPLETE
104,0.7789951899915407,2024-09-14 14:17:55.116457,2024-09-14 14:36:41.024242,0 days 00:18:45.907785,32,256,128,0.3,4,0.3,0.1,8.394811483571363e-05,16,COMPLETE
105,0.7750742554539349,2024-09-14 14:36:41.037814,2024-09-14 14:58:00.984396,0 days 00:21:19.946582,32,256,128,0.3,4,0.3,0.1,8.651363968627265e-05,16,COMPLETE
106,0.776542294313341,2024-09-14 14:58:00.998913,2024-09-14 15:19:19.133907,0 days 00:21:18.134994,32,256,128,0.3,4,0.3,0.1,7.277671203603184e-05,16,COMPLETE
107,0.7729660833709511,2024-09-14 15:19:19.147501,2024-09-14 15:37:39.578636,0 days 00:18:20.431135,32,256,128,0.3,4,0.3,0.1,6.324435111345536e-05,16,COMPLETE
108,0.7423231430446443,2024-09-14 15:37:39.593381,2024-09-14 15:59:01.075761,0 days 00:21:21.482380,32,256,128,0.5,4,0.3,0.1,8.506624624404328e-05,16,COMPLETE
109,0.7477867986510734,2024-09-14 15:59:01.090277,2024-09-14 16:20:21.574963,0 days 00:21:20.484686,32,256,64,0.3,4,0.3,0.1,4.9309144112124935e-05,16,COMPLETE
110,0.7758044815015723,2024-09-14 16:20:21.589483,2024-09-14 16:41:45.605848,0 days 00:21:24.016365,32,256,128,0.3,4,0.3,0.1,7.353784966608552e-05,16,COMPLETE
111,0.6380837303739895,2024-09-14 16:41:45.619532,2024-09-14 17:03:08.870981,0 days 00:21:23.251449,32,256,128,0.3,4,0.3,0.1,6.12385658247212e-07,16,COMPLETE
112,0.77814428697694,2024-09-14 17:03:08.884852,2024-09-14 17:24:33.522048,0 days 00:21:24.637196,32,256,128,0.3,4,0.3,0.1,9.05305531763855e-05,16,COMPLETE
113,0.6480621033544878,2024-09-14 17:24:33.536328,2024-09-14 17:45:53.970539,0 days 00:21:20.434211,32,256,128,0.3,4,0.3,0.1,1.8107647424412246e-06,16,COMPLETE
114,0.7777233401108425,2024-09-14 17:45:53.985402,2024-09-14 18:05:39.055340,0 days 00:19:45.069938,32,256,128,0.3,4,0.3,0.1,9.086414231782283e-05,16,COMPLETE
115,0.7743501936521544,2024-09-14 18:05:39.070166,2024-09-14 18:27:06.107218,0 days 00:21:27.037052,32,256,128,0.3,4,0.3,0.1,6.697125712150534e-05,16,COMPLETE
