number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_ff,params_d_model,params_dropout,params_e_layers,params_fc_dropout,params_head_dropout,params_learning_rate,params_n_heads,state
0,0.49907607438063556,2024-09-16 19:26:09.595045,2024-09-16 19:30:14.699671,0 days 00:04:05.104626,64,320,128,0.2,6,0.5,0.0,5e-05,16,COMPLETE
1,0.5980534734102885,2024-09-16 19:30:14.714898,2024-09-16 19:49:31.614194,0 days 00:19:16.899296,48,256,64,0.1,5,0.1,0.0,5e-07,32,COMPLETE
2,0.670859499766707,2024-09-16 19:49:31.626481,2024-09-16 19:53:48.028425,0 days 00:04:16.401944,48,192,192,0.5,3,0.30000000000000004,0.1,0.0005,32,COMPLETE
3,0.5719373418633851,2024-09-16 19:53:48.040680,2024-09-16 19:59:30.834596,0 days 00:05:42.793916,16,128,192,0.4,3,0.4,0.0,1e-06,16,COMPLETE
4,0.6470362305921091,2024-09-16 19:59:30.846474,2024-09-16 20:21:25.061936,0 days 00:21:54.215462,32,128,64,0.30000000000000004,5,0.2,0.2,1e-05,32,COMPLETE
5,0.7790624039800165,2024-09-16 20:21:25.074454,2024-09-16 20:37:14.290759,0 days 00:15:49.216305,32,320,256,0.1,4,0.30000000000000004,0.1,5e-05,16,COMPLETE
6,0.4757665713895538,2024-09-16 20:37:14.302395,2024-09-16 20:44:57.064303,0 days 00:07:42.761908,16,320,128,0.4,6,0.1,0.0,1e-05,32,COMPLETE
7,0.622685918396765,2024-09-16 20:44:57.076111,2024-09-16 20:59:29.317335,0 days 00:14:32.241224,48,320,128,0.1,5,0.5,0.2,5e-07,32,COMPLETE
8,0.4375035562956865,2024-09-16 20:59:29.329080,2024-09-16 21:04:02.752141,0 days 00:04:33.423061,48,192,64,0.4,5,0.4,0.0,1e-06,8,COMPLETE
9,0.6841010111259895,2024-09-16 21:04:02.764678,2024-09-16 21:14:29.691424,0 days 00:10:26.926746,48,256,64,0.2,3,0.2,0.1,0.001,32,COMPLETE
10,0.7857617537943304,2024-09-16 21:14:29.704014,2024-09-16 21:28:19.926511,0 days 00:13:50.222497,32,320,256,0.2,4,0.30000000000000004,0.1,0.0001,16,COMPLETE
11,0.7857617537943304,2024-09-16 21:28:19.938277,2024-09-16 21:42:11.312193,0 days 00:13:51.373916,32,320,256,0.2,4,0.30000000000000004,0.1,0.0001,16,COMPLETE
12,0.7857617537943304,2024-09-16 21:42:11.323877,2024-09-16 21:56:03.048297,0 days 00:13:51.724420,32,320,256,0.2,4,0.4,0.1,0.0001,16,COMPLETE
13,0.7850785893929451,2024-09-16 21:56:03.059939,2024-09-16 22:16:28.600138,0 days 00:20:25.540199,32,320,256,0.30000000000000004,4,0.2,0.2,0.0001,16,COMPLETE
14,0.7836484843541957,2024-09-16 22:16:28.611929,2024-09-16 22:30:25.504198,0 days 00:13:56.892269,32,320,256,0.2,4,0.30000000000000004,0.1,0.0001,8,COMPLETE
15,0.6691029267839327,2024-09-16 22:30:25.516852,2024-09-16 22:47:34.046905,0 days 00:17:08.530053,64,320,256,0.30000000000000004,4,0.4,0.1,5e-06,16,COMPLETE
16,0.49977334542157753,2024-09-16 22:47:34.058996,2024-09-16 22:48:09.217654,0 days 00:00:35.158658,32,192,256,0.2,3,0.2,0.2,0.005,16,COMPLETE
17,0.6287108760057205,2024-09-16 22:48:09.229698,2024-09-16 23:08:35.980501,0 days 00:20:26.750803,32,256,256,0.1,4,0.30000000000000004,0.1,1e-07,8,COMPLETE
18,0.6849817870243574,2024-09-16 23:08:35.992995,2024-09-16 23:24:57.265579,0 days 00:16:21.272584,32,128,256,0.2,5,0.4,0.2,0.0001,16,COMPLETE
19,0.7121254509382929,2024-09-16 23:24:57.277525,2024-09-16 23:37:25.484726,0 days 00:12:28.207201,64,320,192,0.30000000000000004,3,0.2,0.1,0.0001,16,COMPLETE
20,0.5651262058213241,2024-09-16 23:37:25.497413,2024-09-16 23:38:13.602317,0 days 00:00:48.104904,16,320,256,0.5,4,0.30000000000000004,0.1,0.005,16,COMPLETE
21,0.7857617537943304,2024-09-16 23:38:13.614626,2024-09-16 23:52:14.557242,0 days 00:14:00.942616,32,320,256,0.2,4,0.4,0.1,0.0001,16,COMPLETE
22,0.7857617537943304,2024-09-16 23:52:14.569233,2024-09-17 00:06:16.117143,0 days 00:14:01.547910,32,320,256,0.2,4,0.5,0.1,0.0001,16,COMPLETE
23,0.7840844862053661,2024-09-17 00:06:16.129880,2024-09-17 00:17:51.199926,0 days 00:11:35.070046,32,320,256,0.1,4,0.4,0.1,0.0001,16,COMPLETE
24,,2024-09-17 00:17:51.212679,2024-09-17 00:18:58.348475,0 days 00:01:07.135796,32,320,256,0.2,5,0.30000000000000004,0.1,0.001,16,FAIL
25,,2024-09-17 00:18:58.358655,2024-09-17 00:20:04.886095,0 days 00:01:06.527440,32,320,256,0.2,5,0.30000000000000004,0.1,0.001,16,FAIL
26,0.5559578384550313,2024-09-17 00:20:04.896848,2024-09-17 00:22:08.424173,0 days 00:02:03.527325,32,320,256,0.2,5,0.30000000000000004,0.1,0.0005,16,COMPLETE
27,0.6900823448411901,2024-09-17 00:22:08.437014,2024-09-17 00:42:43.843682,0 days 00:20:35.406668,32,320,256,0.30000000000000004,4,0.4,0.0,5e-06,8,COMPLETE
28,0.5462733340414313,2024-09-17 00:42:43.856543,2024-09-17 00:48:57.991129,0 days 00:06:14.134586,32,192,256,0.2,3,0.30000000000000004,0.2,1e-07,16,COMPLETE
29,,2024-09-17 00:48:58.003445,2024-09-17 00:50:27.925992,0 days 00:01:29.922547,32,256,128,0.1,4,0.5,0.1,0.001,16,FAIL
30,,2024-09-17 00:50:27.936910,2024-09-17 00:51:58.168704,0 days 00:01:30.231794,32,256,128,0.1,4,0.5,0.1,0.001,16,FAIL
31,,2024-09-17 00:51:58.179594,2024-09-17 00:53:27.993360,0 days 00:01:29.813766,32,256,128,0.1,4,0.5,0.1,0.001,16,FAIL
32,,2024-09-17 00:53:28.004364,2024-09-17 00:54:36.023980,0 days 00:01:08.019616,32,256,192,0.1,4,0.5,0.1,0.001,16,FAIL
