number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_d_ff,params_d_model,params_dropout,params_e_layers,params_fc_dropout,params_head_dropout,params_kernel_size,params_learning_rate,params_n_heads,params_patch_len,params_stride,state
0,0.644846899169767,2024-10-08 11:52:51.947234,2024-10-08 12:04:35.355400,0 days 00:11:43.408166,elu,16,128,384,0.5,3,0.1,0.2,15,1e-05,16,4,8,COMPLETE
1,0.7186840286652845,2024-10-08 12:04:35.372761,2024-10-08 12:15:57.970248,0 days 00:11:22.597487,gelu,64,192,256,0.4,5,0.1,0.30000000000000004,25,0.0005,8,4,8,COMPLETE
2,0.7589945850255129,2024-10-08 12:15:57.982338,2024-10-08 12:35:15.201251,0 days 00:19:17.218913,gelu,32,640,384,0.2,5,0.4,0.5,31,0.0001,8,4,4,COMPLETE
3,0.6264092423769086,2024-10-08 12:35:15.213372,2024-10-08 12:48:37.290258,0 days 00:13:22.076886,gelu,32,640,512,0.5,6,0.2,0.5,25,1e-05,16,16,4,COMPLETE
4,0.7269983101871574,2024-10-08 12:48:37.302431,2024-10-08 13:00:13.975106,0 days 00:11:36.672675,relu,32,320,384,0.30000000000000004,3,0.2,0.4,15,5e-05,32,8,8,COMPLETE
5,0.6552080079141935,2024-10-08 13:00:13.988015,2024-10-08 13:31:09.182779,0 days 00:30:55.194764,gelu,48,192,192,0.1,3,0.2,0.5,25,1e-06,32,8,4,COMPLETE
6,0.733177960485833,2024-10-08 13:31:09.195564,2024-10-08 13:45:49.270886,0 days 00:14:40.075322,gelu,16,512,256,0.5,3,0.4,0.5,31,0.0005,8,8,8,COMPLETE
7,0.7629087264396542,2024-10-08 13:45:49.283767,2024-10-08 13:58:22.411612,0 days 00:12:33.127845,elu,48,640,512,0.1,5,0.1,0.4,31,0.0001,4,16,16,COMPLETE
