number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_d_ff,params_d_model,params_dropout,params_e_layers,params_fc_dropout,params_head_dropout,params_kernel_size,params_learning_rate,params_n_heads,params_patch_len,params_stride,state
0,0.5390246524418367,2024-10-11 17:06:44.895005,2024-10-11 17:44:17.367209,0 days 00:37:32.472204,elu,32,768,768,0.2,5,0.30000000000000004,0.5,25,5e-05,16,4,4,COMPLETE
1,0.5344679906647386,2024-10-11 17:44:17.383038,2024-10-11 18:00:37.150020,0 days 00:16:19.766982,relu,64,256,64,0.2,3,0.4,0.2,15,0.0005,32,4,8,COMPLETE
2,0.5036134258536805,2024-10-11 18:00:37.163277,2024-10-11 18:59:04.007555,0 days 00:58:26.844278,elu,48,128,128,0.2,5,0.4,0.2,25,5e-06,8,16,16,COMPLETE
3,0.5234751308219677,2024-10-11 18:59:04.020257,2024-10-11 19:23:16.456390,0 days 00:24:12.436133,relu,48,640,768,0.2,3,0.5,0.1,25,1e-05,8,4,16,COMPLETE
4,0.5043052477901577,2024-10-11 19:23:16.469316,2024-10-11 19:30:46.053734,0 days 00:07:29.584418,gelu,64,768,640,0.5,6,0.4,0.1,25,0.0005,8,16,4,COMPLETE
5,0.5012206582538346,2024-10-11 19:30:46.066722,2024-10-11 20:45:57.573027,0 days 01:15:11.506305,relu,64,640,256,0.1,5,0.2,0.2,15,1e-06,8,16,4,COMPLETE
6,0.522561371021157,2024-10-11 20:45:57.585919,2024-10-11 21:02:19.651641,0 days 00:16:22.065722,elu,64,384,128,0.4,3,0.1,0.1,15,0.0001,8,32,4,COMPLETE
7,0.4968755310036793,2024-10-11 21:02:19.664523,2024-10-11 22:16:22.893737,0 days 01:14:03.229214,elu,64,768,768,0.30000000000000004,5,0.4,0.30000000000000004,25,1e-06,8,8,8,COMPLETE
8,0.5428842906137622,2024-10-11 22:16:22.907298,2024-10-11 23:10:19.644540,0 days 00:53:56.737242,relu,64,512,128,0.5,3,0.2,0.30000000000000004,15,1e-06,16,4,8,COMPLETE
9,0.5155408521720435,2024-10-11 23:10:19.657564,2024-10-12 00:09:05.290455,0 days 00:58:45.632891,elu,32,128,768,0.2,6,0.5,0.4,15,5e-06,8,16,8,COMPLETE
10,0.502736077733737,2024-10-12 00:09:05.303449,2024-10-12 00:13:09.244744,0 days 00:04:03.941295,gelu,16,512,512,0.5,4,0.1,0.4,31,0.001,16,32,8,COMPLETE
11,0.5214967628281819,2024-10-12 00:13:09.257840,2024-10-12 01:11:45.374844,0 days 00:58:36.117004,relu,32,512,128,0.4,4,0.2,0.5,31,5e-05,16,4,4,COMPLETE
12,0.5121961792009544,2024-10-12 01:11:45.387756,2024-10-12 02:18:35.401052,0 days 01:06:50.013296,elu,32,512,512,0.30000000000000004,4,0.2,0.5,15,5e-05,4,4,8,COMPLETE
13,0.5253737398957585,2024-10-12 02:18:35.414051,2024-10-12 03:01:53.243316,0 days 00:43:17.829265,relu,16,768,64,0.1,5,0.30000000000000004,0.4,25,5e-05,16,4,4,COMPLETE
14,0.49158543394054144,2024-10-12 03:01:53.256623,2024-10-12 03:57:36.389114,0 days 00:55:43.132491,gelu,32,384,256,0.4,4,0.30000000000000004,0.30000000000000004,31,1e-06,16,8,16,COMPLETE
15,0.513141149013937,2024-10-12 03:57:36.402388,2024-10-12 04:50:33.964591,0 days 00:52:57.562203,elu,32,256,640,0.5,6,0.2,0.5,25,0.0001,16,4,8,COMPLETE
