number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_d_ff,params_d_model,params_dropout,params_e_layers,params_fc_dropout,params_head_dropout,params_kernel_size,params_learning_rate,params_n_heads,params_patch_len,params_stride,state
16,0.5259667301270248,2024-10-12 04:50:33.977026,2024-10-12 05:29:55.433794,0 days 00:39:21.456768,relu,16,512,128,0.30000000000000004,3,0.30000000000000004,0.4,15,1e-05,32,4,4,COMPLETE
17,,2024-10-12 05:29:55.447166,2024-10-12 05:33:31.622676,0 days 00:03:36.175510,relu,48,768,768,0.4,4,0.2,0.30000000000000004,25,0.001,4,4,8,FAIL
18,0.526658552063502,2024-10-12 05:33:31.633679,2024-10-12 05:37:23.731982,0 days 00:03:52.098303,elu,48,768,768,0.4,4,0.1,0.30000000000000004,25,0.001,4,4,4,COMPLETE
19,0.5161095679493981,2024-10-12 05:37:23.745214,2024-10-12 06:01:48.454009,0 days 00:24:24.708795,relu,32,512,128,0.1,5,0.2,0.5,15,5e-05,16,8,8,COMPLETE
20,0.4987273250592123,2024-10-12 06:01:48.467638,2024-10-12 07:23:54.163866,0 days 01:22:05.696228,gelu,64,768,768,0.2,6,0.30000000000000004,0.4,31,1e-06,16,32,16,COMPLETE
21,0.5198842455326336,2024-10-12 07:23:54.177171,2024-10-12 08:31:48.750386,0 days 01:07:54.573215,elu,64,384,640,0.30000000000000004,3,0.2,0.2,15,1e-06,16,4,4,COMPLETE
22,0.5344679906647386,2024-10-12 08:31:48.763976,2024-10-12 08:48:11.003705,0 days 00:16:22.239729,relu,64,256,64,0.2,3,0.4,0.2,15,0.0005,32,4,8,COMPLETE
23,0.5344679906647386,2024-10-12 08:48:11.017238,2024-10-12 09:04:32.594192,0 days 00:16:21.576954,relu,64,256,64,0.2,3,0.4,0.2,15,0.0005,32,4,8,COMPLETE
24,0.5187814917692262,2024-10-12 09:04:32.607899,2024-10-12 09:31:55.342622,0 days 00:27:22.734723,relu,64,256,64,0.1,4,0.30000000000000004,0.30000000000000004,15,0.0005,32,4,8,COMPLETE
25,0.5344679906647386,2024-10-12 09:31:55.355994,2024-10-12 09:48:17.039901,0 days 00:16:21.683907,relu,64,256,64,0.2,3,0.5,0.2,15,0.0005,32,4,8,COMPLETE
26,0.5366995065350297,2024-10-12 09:48:17.053502,2024-10-12 10:24:45.079206,0 days 00:36:28.025704,relu,32,128,256,0.30000000000000004,4,0.4,0.1,25,5e-05,4,4,8,COMPLETE
27,0.5179197486553686,2024-10-12 10:24:45.092701,2024-10-12 10:50:36.471727,0 days 00:25:51.379026,relu,32,128,256,0.4,5,0.30000000000000004,0.1,25,5e-05,4,4,8,COMPLETE
28,0.5296044304346168,2024-10-12 10:50:36.485487,2024-10-12 11:46:28.332240,0 days 00:55:51.846753,relu,32,128,256,0.5,4,0.30000000000000004,0.30000000000000004,25,5e-05,4,8,8,COMPLETE
29,0.5152443570564104,2024-10-12 11:46:28.346461,2024-10-12 12:37:56.924150,0 days 00:51:28.577689,gelu,32,128,256,0.30000000000000004,5,0.4,0.4,25,5e-05,4,32,4,COMPLETE
30,0.537751977501049,2024-10-12 12:37:56.938033,2024-10-12 13:33:57.338218,0 days 00:56:00.400185,elu,32,640,512,0.4,4,0.5,0.1,25,5e-05,4,4,16,COMPLETE
31,0.5383796455236174,2024-10-12 13:33:57.352126,2024-10-12 14:50:52.954607,0 days 01:16:55.602481,elu,16,640,512,0.5,4,0.5,0.5,25,0.0001,16,4,16,COMPLETE
32,0.5383796455236174,2024-10-12 14:50:52.967770,2024-10-12 16:07:25.967184,0 days 01:16:32.999414,elu,16,640,512,0.5,4,0.5,0.5,25,0.0001,16,4,16,COMPLETE
33,0.5273122284295468,2024-10-12 16:07:25.980908,2024-10-12 17:42:45.484912,0 days 01:35:19.504004,elu,16,640,512,0.5,5,0.5,0.5,25,0.0001,16,4,16,COMPLETE
34,0.5383796455236174,2024-10-12 17:42:45.498726,2024-10-12 18:59:25.340505,0 days 01:16:39.841779,elu,16,640,512,0.5,4,0.5,0.5,25,0.0001,16,4,16,COMPLETE
35,0.519908519986545,2024-10-12 18:59:25.354261,2024-10-12 19:41:05.423704,0 days 00:41:40.069443,elu,16,640,512,0.5,3,0.5,0.5,25,0.0001,16,16,16,COMPLETE
36,0.5273122284295468,2024-10-12 19:41:05.437769,2024-10-12 21:16:33.509677,0 days 01:35:28.071908,elu,16,640,512,0.5,5,0.5,0.5,25,0.0001,16,4,16,COMPLETE
37,0.4897787210137012,2024-10-12 21:16:33.523850,2024-10-12 22:37:23.024074,0 days 01:20:49.500224,elu,48,640,128,0.5,4,0.1,0.4,25,5e-06,16,4,16,COMPLETE
38,0.5202882418013033,2024-10-12 22:37:23.037927,2024-10-13 00:10:14.217011,0 days 01:32:51.179084,elu,16,768,768,0.4,5,0.4,0.5,25,1e-05,16,16,16,COMPLETE
39,0.5432588107598251,2024-10-13 00:10:14.230759,2024-10-13 00:48:56.837271,0 days 00:38:42.606512,elu,16,640,512,0.4,3,0.5,0.4,25,0.0001,16,4,16,COMPLETE
40,0.5277630397164743,2024-10-13 00:48:56.851181,2024-10-13 01:46:28.441706,0 days 00:57:31.590525,elu,48,512,768,0.4,3,0.1,0.4,31,1e-06,16,32,16,COMPLETE
41,0.5218227340664218,2024-10-13 01:46:28.455530,2024-10-13 02:06:07.711876,0 days 00:19:39.256346,elu,16,640,128,0.4,3,0.2,0.4,25,0.0001,16,16,4,COMPLETE
42,0.535163280380346,2024-10-13 02:06:07.725727,2024-10-13 03:15:39.661952,0 days 01:09:31.936225,elu,16,640,512,0.5,3,0.5,0.5,25,0.0001,16,4,16,COMPLETE
43,0.535163280380346,2024-10-13 03:15:39.676275,2024-10-13 04:25:18.638330,0 days 01:09:38.962055,elu,16,640,512,0.5,3,0.5,0.5,25,0.0001,16,4,16,COMPLETE
44,0.5382322649105833,2024-10-13 04:25:18.652101,2024-10-13 05:41:58.172475,0 days 01:16:39.520374,elu,16,640,512,0.5,4,0.4,0.4,25,0.0001,8,4,16,COMPLETE
45,0.49990290218435407,2024-10-13 05:41:58.186970,2024-10-13 05:44:32.919000,0 days 00:02:34.732030,elu,16,768,512,0.4,4,0.5,0.5,25,0.001,16,4,16,COMPLETE
46,0.4988591006661604,2024-10-13 05:44:32.932104,2024-10-13 06:53:04.639347,0 days 01:08:31.707243,elu,16,512,640,0.5,5,0.4,0.30000000000000004,25,5e-06,16,8,16,COMPLETE
47,0.5323699842909605,2024-10-13 06:53:04.653168,2024-10-13 07:29:43.209558,0 days 00:36:38.556390,gelu,16,384,512,0.5,3,0.5,0.4,31,0.0001,16,4,4,COMPLETE
48,0.49190620351008607,2024-10-13 07:29:43.223504,2024-10-13 08:29:22.886081,0 days 00:59:39.662577,elu,48,640,128,0.4,6,0.2,0.5,25,1e-06,8,4,16,COMPLETE
49,0.5155529893989992,2024-10-13 08:29:22.901037,2024-10-13 09:11:02.237716,0 days 00:41:39.336679,elu,16,768,768,0.5,4,0.5,0.5,15,1e-05,16,4,4,COMPLETE
50,0.5240525160471479,2024-10-13 09:11:02.251800,2024-10-13 10:27:40.932181,0 days 01:16:38.680381,elu,64,512,512,0.5,5,0.4,0.4,25,0.0001,16,32,16,COMPLETE
51,0.5065350297708838,2024-10-13 10:27:40.946250,2024-10-13 10:40:30.833446,0 days 00:12:49.887196,gelu,16,640,128,0.4,3,0.5,0.30000000000000004,31,0.001,16,4,4,COMPLETE
52,0.5383796455236174,2024-10-13 10:40:30.847596,2024-10-13 11:57:29.667459,0 days 01:16:58.819863,elu,16,640,512,0.5,4,0.5,0.5,25,0.0001,16,4,16,COMPLETE
53,0.5383796455236174,2024-10-13 11:57:29.681410,2024-10-13 13:14:11.480220,0 days 01:16:41.798810,elu,16,640,512,0.5,4,0.5,0.5,25,0.0001,16,4,16,COMPLETE
54,0.5383796455236174,2024-10-13 13:14:11.494343,2024-10-13 14:30:53.476816,0 days 01:16:41.982473,elu,16,640,512,0.5,4,0.5,0.5,25,0.0001,16,4,16,COMPLETE
55,0.49072715860581406,2024-10-13 14:30:53.490959,2024-10-13 15:37:24.534330,0 days 01:06:31.043371,elu,16,768,768,0.5,4,0.4,0.5,25,1e-06,16,4,16,COMPLETE
56,0.5302268967884897,2024-10-13 15:37:24.548817,2024-10-13 16:18:59.519503,0 days 00:41:34.970686,elu,64,640,512,0.4,4,0.5,0.5,15,0.0001,16,8,16,COMPLETE
57,0.5397823621817879,2024-10-13 16:18:59.534780,2024-10-13 16:54:26.685910,0 days 00:35:27.151130,elu,16,384,640,0.1,5,0.2,0.4,25,0.0001,8,4,16,COMPLETE
58,0.5082463787716434,2024-10-13 16:54:26.700771,2024-10-13 17:26:28.143843,0 days 00:32:01.443072,relu,64,384,640,0.1,6,0.2,0.4,15,5e-06,8,4,4,COMPLETE
59,0.5054617521300834,2024-10-13 17:26:28.158153,2024-10-13 18:24:16.869223,0 days 00:57:48.711070,elu,32,384,640,0.1,5,0.2,0.30000000000000004,25,1e-06,8,16,8,COMPLETE
60,0.533819515967389,2024-10-13 18:24:16.883401,2024-10-13 18:46:33.206997,0 days 00:22:16.323596,gelu,48,384,640,0.1,5,0.1,0.4,25,0.0001,8,4,16,COMPLETE
61,0.5181018070597048,2024-10-13 18:46:33.221581,2024-10-13 19:10:55.505242,0 days 00:24:22.283661,relu,16,512,640,0.2,5,0.2,0.4,15,1e-05,8,4,8,COMPLETE
62,0.5107726558680024,2024-10-13 19:10:55.519687,2024-10-13 19:52:38.517833,0 days 00:41:42.998146,elu,16,384,512,0.30000000000000004,5,0.2,0.5,25,0.0001,16,4,16,COMPLETE
63,0.5344506517690876,2024-10-13 19:52:38.532103,2024-10-13 21:09:47.127824,0 days 01:17:08.595721,elu,16,640,128,0.2,3,0.30000000000000004,0.5,25,0.0001,32,4,16,COMPLETE
64,0.5332213240674275,2024-10-13 21:09:47.142024,2024-10-13 22:12:10.906353,0 days 01:02:23.764329,elu,16,768,768,0.2,4,0.1,0.5,25,0.0001,16,4,16,COMPLETE
