number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_d_ff,params_d_model,params_dropout,params_e_layers,params_fc_dropout,params_head_dropout,params_kernel_size,params_learning_rate,params_n_heads,params_patch_len,params_stride,state
0,0.5322048479153134,2024-10-11 12:13:28.008853,2024-10-11 12:31:13.031270,0 days 00:17:45.022417,relu,48,256,64,0.30000000000000004,3,0.2,0.5,31,5e-06,4,32,8,COMPLETE
1,0.5393271237268694,2024-10-11 12:31:13.048825,2024-10-11 12:46:00.291753,0 days 00:14:47.242928,elu,32,512,512,0.30000000000000004,4,0.1,0.30000000000000004,15,5e-05,32,8,16,COMPLETE
2,,2024-10-11 12:46:00.304569,,,elu,16,256,128,0.4,6,0.4,0.1,25,1e-06,32,4,4,RUNNING
3,0.5320355578281118,2024-10-11 14:47:01.459609,2024-10-11 15:10:19.542902,0 days 00:23:18.083293,relu,16,768,64,0.1,6,0.2,0.1,15,5e-05,4,32,4,COMPLETE
4,,2024-10-11 15:10:19.561061,2024-10-11 15:12:44.394076,0 days 00:02:24.833015,relu,16,256,256,0.1,3,0.5,0.30000000000000004,31,0.001,8,4,16,FAIL
5,0.5241618413233649,2024-10-11 15:12:44.407815,2024-10-11 15:30:26.298293,0 days 00:17:41.890478,gelu,48,256,768,0.4,3,0.2,0.30000000000000004,31,0.0001,8,32,4,COMPLETE
6,0.5351415126933016,2024-10-11 15:30:26.314535,2024-10-11 16:43:18.699877,0 days 01:12:52.385342,relu,16,384,64,0.1,5,0.4,0.2,15,1e-05,32,8,4,COMPLETE
